customer_id,city,signup_date
1,Mumbai,2024-11-23
2,Chennai,2024-01-13
3,Bangalore,2024-05-05
4,Mumbai,2024-03-12
5,Mumbai,2024-12-12
6,Hyderabad,2024-10-29
7,Kolkata,2024-01-17
8,Bangalore,2024-02-17
9,Kolkata,2024-04-29
10,Bangalore,2024-10-14
11,Hyderabad,2025-01-01
12,Ahmedabad,2024-04-22
13,Chennai,2024-10-28
14,Kolkata,2025-02-18
15,Delhi,2025-01-23
16,Hyderabad,2024-12-23
17,Chennai,2024-06-23
18,Bangalore,2024-03-20
19,Pune,2025-05-05
20,Mumbai,2024-02-22
21,Mumbai,2024-07-13
22,Pune,2024-07-02
23,Chennai,2024-11-05
24,Kolkata,2025-02-17
25,Ahmedabad,2025-01-08
26,Mumbai,2024-10-01
27,Hyderabad,2025-05-13
28,Chennai,2024-02-10
29,Pune,2025-02-28
30,Bangalore,2024-10-22
31,Mumbai,2024-12-26
32,Bangalore,2024-01-24
33,Chennai,2025-01-30
34,Bangalore,2024-02-10
35,Mumbai,2025-03-19
36,Chennai,2024-07-13
37,Pune,2024-08-20
38,Pune,2024-03-24
39,Bangalore,2024-06-30
40,Chennai,2024-12-09
41,Mumbai,2024-12-25
42,Delhi,2024-11-07
43,Bangalore,2024-09-30
44,Ahmedabad,2024-03-24
45,Chennai,2024-07-13
46,Bangalore,2025-04-18
47,Pune,2024-12-16
48,Kolkata,2025-03-07
49,Kolkata,2024-04-27
50,Pune,2025-02-16
51,Chennai,2024-07-24
52,Bangalore,2024-02-03
53,Pune,2025-04-12
54,Ahmedabad,2024-04-18
55,Ahmedabad,2024-07-21
56,Chennai,2024-03-14
57,Bangalore,2024-03-12
58,Chennai,2025-01-16
59,Hyderabad,2025-01-17
60,Hyderabad,2025-04-04
61,Bangalore,2024-07-04
62,Ahmedabad,2024-03-11
63,Kolkata,2024-02-16
64,Mumbai,2025-03-16
65,Delhi,2024-03-19
66,Hyderabad,2025-02-09
67,Mumbai,2024-11-01
68,Hyderabad,2024-07-16
69,Ahmedabad,2024-11-01
70,Chennai,2024-09-27
71,Kolkata,2025-05-12
72,Mumbai,2024-12-14
73,Chennai,2024-12-15
74,Pune,2025-01-28
75,Chennai,2024-02-27
76,Delhi,2024-08-10
77,Kolkata,2024-08-20
78,Chennai,2025-05-03
79,Delhi,2025-05-12
80,Mumbai,2024-09-16
81,Chennai,2025-03-21
82,Bangalore,2025-03-06
83,Pune,2024-03-19
84,Delhi,2025-01-25
85,Kolkata,2024-10-03
86,Pune,2024-11-02
87,Kolkata,2024-09-07
88,Pune,2024-02-27
89,Chennai,2025-03-25
90,Kolkata,2024-05-02
91,Mumbai,2024-05-03
92,Ahmedabad,2024-02-13
93,Mumbai,2025-02-21
94,Delhi,2025-05-15
95,Ahmedabad,2024-03-06
96,Delhi,2025-04-29
97,Hyderabad,2024-05-15
98,Bangalore,2025-05-08
99,Bangalore,2025-04-20
100,Chennai,2024-12-31
101,Pune,2024-07-23
102,Ahmedabad,2024-08-12
103,Bangalore,2024-03-02
104,Mumbai,2024-04-25
105,Kolkata,2024-06-22
106,Bangalore,2024-10-28
107,Bangalore,2024-10-28
108,Mumbai,2024-01-04
109,Kolkata,2024-12-28
110,Mumbai,2024-04-27
111,Kolkata,2025-04-08
112,Pune,2025-03-16
113,Bangalore,2024-02-06
114,Ahmedabad,2024-05-22
115,Delhi,2024-04-19
116,Ahmedabad,2025-01-05
117,Ahmedabad,2024-05-04
118,Hyderabad,2025-02-17
119,Mumbai,2024-04-07
120,Hyderabad,2024-02-19
121,Hyderabad,2024-06-30
