transaction_id,customer_id,product_id,quantity,unit_price,total_amount,order_date
1973,80,36,1,3262.33,3262.33,2024-01-01
2393,135,21,1,2505.63,2505.63,2024-01-01
3034,245,35,1,3867.68,3867.68,2024-01-01
4159,273,28,1,2129.8,2129.8,2024-01-01
4265,468,5,2,750.67,1501.34,2024-01-01
4958,376,32,1,806.52,806.52,2024-01-01
4984,483,31,1,2489.05,2489.05,2024-01-01
5252,258,26,2,3172.93,6345.86,2024-01-01
7131,323,14,1,967.51,967.51,2024-01-01
8695,223,19,1,1812.99,1812.99,2024-01-01
10047,226,31,1,2489.05,2489.05,2024-01-01
11059,436,34,1,3803.21,3803.21,2024-01-01
11314,407,30,1,328.83,328.83,2024-01-01
11851,418,1,1,1591.98,1591.98,2024-01-01
3,191,27,2,918.74,1837.48,2024-01-02
746,314,36,1,3262.33,3262.33,2024-01-02
1992,427,16,1,856.11,856.11,2024-01-02
2427,463,24,1,1560.49,1560.49,2024-01-02
2455,79,36,1,3262.33,3262.33,2024-01-02
3591,442,28,2,2129.8,4259.6,2024-01-02
4725,406,18,2,2170.31,4340.62,2024-01-02
7125,355,16,1,856.11,856.11,2024-01-02
8032,289,22,1,687.05,687.05,2024-01-02
8196,176,22,1,687.05,687.05,2024-01-02
8817,10,19,1,1812.99,1812.99,2024-01-02
8930,206,12,2,3884.15,7768.3,2024-01-02
9851,158,17,1,1321.33,1321.33,2024-01-02
11358,45,36,1,3262.33,3262.33,2024-01-02
58,254,27,1,918.74,918.74,2024-01-03
302,91,29,1,2430.8,2430.8,2024-01-03
2154,314,10,1,2876.08,2876.08,2024-01-03
5788,331,11,1,229.25,229.25,2024-01-03
6993,485,21,2,2505.63,5011.26,2024-01-03
7164,361,29,1,2430.8,2430.8,2024-01-03
7245,395,26,1,3172.93,3172.93,2024-01-03
8556,473,32,1,806.52,806.52,2024-01-03
8968,119,33,1,400.45,400.45,2024-01-03
9010,207,27,1,918.74,918.74,2024-01-03
11050,237,23,1,1274.76,1274.76,2024-01-03
1307,464,21,1,2505.63,2505.63,2024-01-04
1341,411,32,1,806.52,806.52,2024-01-04
2505,212,29,2,2430.8,4861.6,2024-01-04
4636,235,14,1,967.51,967.51,2024-01-04
5259,20,4,1,2454.84,2454.84,2024-01-04
5269,279,28,1,2129.8,2129.8,2024-01-04
6324,17,9,2,2464.29,4928.58,2024-01-04
7394,81,23,2,1274.76,2549.52,2024-01-04
8099,320,30,2,328.83,657.66,2024-01-04
8786,392,6,1,750.58,750.58,2024-01-04
9324,410,30,1,328.83,328.83,2024-01-04
9831,242,20,2,1271.23,2542.46,2024-01-04
10746,30,27,1,918.74,918.74,2024-01-04
11179,436,22,1,687.05,687.05,2024-01-04
11602,249,3,1,2968.18,2968.18,2024-01-04
1785,314,9,1,2464.29,2464.29,2024-01-05
2804,452,5,1,750.67,750.67,2024-01-05
2822,34,17,1,1321.33,1321.33,2024-01-05
3085,168,11,3,229.25,687.75,2024-01-05
3385,91,30,2,328.83,657.66,2024-01-05
3728,500,19,2,1812.99,3625.98,2024-01-05
4825,212,2,1,3810.25,3810.25,2024-01-05
5411,206,32,1,806.52,806.52,2024-01-05
5943,206,9,1,2464.29,2464.29,2024-01-05
6501,316,22,1,687.05,687.05,2024-01-05
7167,488,36,1,3262.33,3262.33,2024-01-05
7774,119,2,1,3810.25,3810.25,2024-01-05
7955,323,13,1,3354.9,3354.9,2024-01-05
9654,333,35,1,3867.68,3867.68,2024-01-05
715,236,10,1,2876.08,2876.08,2024-01-06
1179,354,14,3,967.51,2902.53,2024-01-06
1611,311,23,1,1274.76,1274.76,2024-01-06
3202,251,28,1,2129.8,2129.8,2024-01-06
3336,438,23,1,1274.76,1274.76,2024-01-06
3615,222,26,2,3172.93,6345.86,2024-01-06
3669,147,3,1,2968.18,2968.18,2024-01-06
4644,207,16,1,856.11,856.11,2024-01-06
5524,431,9,1,2464.29,2464.29,2024-01-06
6429,361,2,1,3810.25,3810.25,2024-01-06
6641,301,5,1,750.67,750.67,2024-01-06
6909,464,20,1,1271.23,1271.23,2024-01-06
8571,124,10,1,2876.08,2876.08,2024-01-06
8600,410,23,2,1274.76,2549.52,2024-01-06
9531,40,35,1,3867.68,3867.68,2024-01-06
9697,402,29,1,2430.8,2430.8,2024-01-06
10186,17,21,1,2505.63,2505.63,2024-01-06
10938,182,29,1,2430.8,2430.8,2024-01-06
11005,19,15,1,850.03,850.03,2024-01-06
11105,196,33,3,400.45,1201.35,2024-01-06
11326,99,24,1,1560.49,1560.49,2024-01-06
11920,247,30,1,328.83,328.83,2024-01-06
1236,270,26,2,3172.93,6345.86,2024-01-07
1507,96,6,2,750.58,1501.16,2024-01-07
2201,174,34,1,3803.21,3803.21,2024-01-07
3301,482,31,1,2489.05,2489.05,2024-01-07
3495,203,19,2,1812.99,3625.98,2024-01-07
3795,148,16,1,856.11,856.11,2024-01-07
4656,78,15,1,850.03,850.03,2024-01-07
5387,464,15,1,850.03,850.03,2024-01-07
5766,477,17,1,1321.33,1321.33,2024-01-07
6816,418,18,1,2170.31,2170.31,2024-01-07
7406,229,12,1,3884.15,3884.15,2024-01-07
7890,468,23,1,1274.76,1274.76,2024-01-07
10043,497,25,2,1905.87,3811.74,2024-01-07
10684,150,31,1,2489.05,2489.05,2024-01-07
11871,475,7,1,373.62,373.62,2024-01-07
464,473,23,2,1274.76,2549.52,2024-01-08
2717,332,29,1,2430.8,2430.8,2024-01-08
3269,400,7,2,373.62,747.24,2024-01-08
3617,226,8,1,3484.78,3484.78,2024-01-08
3622,376,18,1,2170.31,2170.31,2024-01-08
4000,429,3,1,2968.18,2968.18,2024-01-08
5033,478,10,1,2876.08,2876.08,2024-01-08
5388,366,10,2,2876.08,5752.16,2024-01-08
7213,34,36,1,3262.33,3262.33,2024-01-08
7662,373,22,2,687.05,1374.1,2024-01-08
8076,323,17,1,1321.33,1321.33,2024-01-08
8082,39,5,1,750.67,750.67,2024-01-08
8525,302,13,1,3354.9,3354.9,2024-01-08
8585,331,31,1,2489.05,2489.05,2024-01-08
9409,223,20,1,1271.23,1271.23,2024-01-08
10629,32,19,2,1812.99,3625.98,2024-01-08
11666,418,18,2,2170.31,4340.62,2024-01-08
172,182,35,2,3867.68,7735.36,2024-01-09
1032,468,27,1,918.74,918.74,2024-01-09
2001,469,18,2,2170.31,4340.62,2024-01-09
2016,238,4,1,2454.84,2454.84,2024-01-09
2186,69,31,1,2489.05,2489.05,2024-01-09
2701,392,31,1,2489.05,2489.05,2024-01-09
3993,295,22,1,687.05,687.05,2024-01-09
4049,245,35,2,3867.68,7735.36,2024-01-09
4974,273,14,1,967.51,967.51,2024-01-09
6290,10,35,1,3867.68,3867.68,2024-01-09
6862,464,5,2,750.67,1501.34,2024-01-09
7367,217,19,2,1812.99,3625.98,2024-01-09
7560,190,19,1,1812.99,1812.99,2024-01-09
8632,235,10,1,2876.08,2876.08,2024-01-09
9137,464,17,1,1321.33,1321.33,2024-01-09
9228,402,36,2,3262.33,6524.66,2024-01-09
10728,32,32,1,806.52,806.52,2024-01-09
11262,326,32,2,806.52,1613.04,2024-01-09
1205,158,19,1,1812.99,1812.99,2024-01-10
1549,310,1,1,1591.98,1591.98,2024-01-10
1839,278,34,3,3803.21,11409.63,2024-01-10
2882,497,2,2,3810.25,7620.5,2024-01-10
2935,84,10,1,2876.08,2876.08,2024-01-10
3237,92,28,1,2129.8,2129.8,2024-01-10
3764,234,31,1,2489.05,2489.05,2024-01-10
3861,289,1,1,1591.98,1591.98,2024-01-10
4104,415,17,2,1321.33,2642.66,2024-01-10
7168,443,7,1,373.62,373.62,2024-01-10
7193,355,11,1,229.25,229.25,2024-01-10
7591,219,29,1,2430.8,2430.8,2024-01-10
8073,385,13,2,3354.9,6709.8,2024-01-10
8209,489,29,1,2430.8,2430.8,2024-01-10
8267,465,26,1,3172.93,3172.93,2024-01-10
8477,183,12,1,3884.15,3884.15,2024-01-10
8903,271,15,1,850.03,850.03,2024-01-10
9847,442,23,1,1274.76,1274.76,2024-01-10
10107,409,10,2,2876.08,5752.16,2024-01-10
10445,422,20,1,1271.23,1271.23,2024-01-10
10973,376,6,1,750.58,750.58,2024-01-10
1727,255,10,1,2876.08,2876.08,2024-01-11
3441,147,26,1,3172.93,3172.93,2024-01-11
3693,233,21,1,2505.63,2505.63,2024-01-11
6408,377,6,1,750.58,750.58,2024-01-11
6839,243,19,1,1812.99,1812.99,2024-01-11
7408,8,3,2,2968.18,5936.36,2024-01-11
7730,477,25,1,1905.87,1905.87,2024-01-11
8443,212,32,1,806.52,806.52,2024-01-11
8513,371,11,1,229.25,229.25,2024-01-11
8829,387,23,1,1274.76,1274.76,2024-01-11
9310,403,9,1,2464.29,2464.29,2024-01-11
9686,268,29,1,2430.8,2430.8,2024-01-11
10304,168,17,1,1321.33,1321.33,2024-01-11
11000,226,14,2,967.51,1935.02,2024-01-11
11099,115,11,2,229.25,458.5,2024-01-11
11193,373,5,1,750.67,750.67,2024-01-11
1244,213,34,1,3803.21,3803.21,2024-01-12
2999,364,11,1,229.25,229.25,2024-01-12
3330,446,15,2,850.03,1700.06,2024-01-12
4312,411,4,1,2454.84,2454.84,2024-01-12
4739,195,19,1,1812.99,1812.99,2024-01-12
5066,379,12,1,3884.15,3884.15,2024-01-12
7637,196,3,3,2968.18,8904.54,2024-01-12
8308,15,28,1,2129.8,2129.8,2024-01-12
9072,267,4,1,2454.84,2454.84,2024-01-12
9122,115,26,2,3172.93,6345.86,2024-01-12
9459,232,22,1,687.05,687.05,2024-01-12
10098,440,16,1,856.11,856.11,2024-01-12
1511,194,7,1,373.62,373.62,2024-01-13
1631,322,1,2,1591.98,3183.96,2024-01-13
2066,90,11,1,229.25,229.25,2024-01-13
2118,243,12,2,3884.15,7768.3,2024-01-13
2156,496,15,1,850.03,850.03,2024-01-13
